740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
13775,-2843,-7994,368,0,77,147,-161,-227
13854,-2960,-8094,350,-119,68,149,-163,-231
13995,-3058,-8153,336,-219,60,150,-150,-230
14008,-2985,-7977,318,-263,48,153,-157,-225
14113,-3098,-8062,286,-254,42,148,-152,-234
14169,-3218,-8272,261,-298,43,137,-155,-237
14424,-3286,-8431,253,-271,41,143,-161,-235
14539,-3262,-8260,269,-153,17,142,-160,-234
14455,-3326,-8409,279,-67,-11,148,-166,-236
14654,-3216,-8343,267,-50,-26,144,-162,-226
14907,-3065,-8334,242,-99,-29,144,-164,-234
15224,-2988,-7872,214,-116,-28,153,-167,-233
15384,-2891,-7540,207,-4,-35,141,-169,-229
15407,-2882,-7436,203,95,-39,147,-163,-219
15360,-2687,-7288,180,134,-34,144,-158,-240
15439,-2638,-7435,144,103,-23,143,-159,-239
15532,-2702,-7557,113,9,-3,140,-162,-230
15363,-2588,-7513,103,-85,37,149,-163,-227
15222,-2670,-7500,91,-161,73,143,-163,-231
15034,-2765,-7528,77,-212,92,142,-160,-238
14857,-2826,-7250,56,-243,96,150,-158,-234
14932,-2861,-7377,37,-229,88,146,-166,-238
15060,-3026,-7550,20,-163,88,147,-157,-231
15084,-3292,-7727,6,-38,89,142,-158,-236
15105,-3543,-7655,5,10,90,139,-155,-239
14949,-3785,-7658,3,72,73,149,-155,-237
14891,-3961,-7815,-5,103,58,142,-162,-234
15002,-4072,-7686,-25,52,39,145,-165,-235
15285,-4106,-7323,-32,55,23,150,-166,-232
15157,-4265,-7520,-2,203,-13,147,-159,-239
15320,-4309,-7696,-12,274,-27,148,-162,-236
15613,-4235,-7769,-7,328,-23,153,-157,-235
15715,-4153,-8024,-18,323,-2,148,-162,-232
15653,-4228,-8343,-41,239,36,138,-162,-230
15390,-4527,-8338,-53,136,63,146,-156,-230
15031,-4716,-8522,-46,126,60,148,-162,-226
15044,-4743,-8609,-24,119,42,148,-158,-234
15092,-4496,-8278,14,169,16,145,-159,-235
15020,-4283,-8380,29,199,-8,148,-158,-238
15254,-4043,-8314,13,183,-26,142,-164,-224
15355,-3902,-8731,13,236,-43,141,-159,-225
15486,-3766,-8532,25,239,-18,150,-156,-230
15436,-3740,-8062,42,186,19,147,-155,-229
15223,-3666,-7154,62,175,34,144,-160,-226
14938,-3757,-6914,73,160,43,146,-158,-228
14733,-3914,-6366,59,51,69,146,-158,-228
14328,-3969,-5728,55,102,60,147,-155,-225
13966,-4108,-5804,60,236,21,152,-162,-220
13704,-4133,-5965,38,235,-10,147,-157,-229
13793,-4041,-6042,4,166,-32,146,-160,-222
14026,-3908,-6138,-13,157,-47,144,-166,-224
14080,-3804,-6563,-2,218,-47,143,-159,-219
14092,-3705,-6667,-1,130,-17,154,-162,-214
14174,-3507,-6138,0,49,6,142,-164,-226
14298,-3464,-5876,5,117,-7,150,-152,-222
14296,-3442,-5662,0,166,-22,146,-162,-222
14347,-3473,-5642,-6,157,-37,155,-159,-219
14370,-3525,-5527,1,133,-44,158,-152,-216
14234,-3607,-5653,3,127,-52,152,-162,-208
14416,-3598,-5771,-9,105,-47,154,-160,-226
14478,-3675,-5852,-27,88,-48,151,-157,-221
14406,-3877,-6263,-37,81,-58,145,-157,-211
14651,-4037,-6424,-51,71,-76,153,-155,-217
15027,-4031,-6945,-43,158,-107,147,-163,-217
15237,-3907,-7169,-46,168,-127,155,-159,-211
15558,-3761,-7521,-40,152,-122,149,-161,-225
15706,-3589,-7539,-46,10,-84,153,-157,-223
15743,-3406,-7013,-52,-97,-45,139,-159,-225
15753,-3276,-6597,-43,2,-45,149,-157,-207
15958,-3226,-6551,-42,117,-56,147,-159,-217
16134,-3265,-6502,-27,186,-56,147,-155,-217
16214,-3298,-6105,-16,273,-53,144,-160,-210
16302,-3388,-6259,1,380,-45,143,-153,-213
16166,-3547,-6240,21,394,-38,145,-153,-217
16065,-3651,-6098,17,349,-24,142,-162,-214
16059,-3841,-6020,6,379,-21,139,-159,-215
15851,-3995,-6650,-6,406,-22,139,-149,-217
15741,-4093,-6758,-17,273,5,142,-154,-208
15688,-4090,-6815,-10,176,37,147,-159,-215
15489,-4166,-6561,-3,124,53,141,-155,-209
15336,-4163,-6440,-5,71,65,141,-157,-203
15081,-4126,-5961,-9,77,57,139,-155,-211
14716,-4160,-6130,-14,250,11,150,-154,-208
14721,-4102,-6225,-40,296,-33,150,-158,-200
14625,-4061,-6319,-41,314,-74,147,-155,-203
14732,-3997,-6236,-42,327,-100,150,-156,-208
14922,-3915,-6205,-24,302,-119,139,-157,-207
15283,-3812,-5861,4,338,-135,143,-163,-205
15350,-3922,-5868,45,419,-150,144,-154,-202
15417,-3852,-5451,58,322,-125,150,-152,-202
15505,-3767,-5183,69,210,-87,147,-157,-199
15488,-3709,-4827,63,135,-55,152,-154,-196
15603,-3658,-4432,56,58,-34,135,-153,-197
15743,-3714,-4368,36,21,-7,145,-153,-205
15908,-3948,-4525,11,-46,21,145,-153,-201
15950,-4126,-4725,-7,-66,34,147,-155,-203
16014,-4389,-5263,-14,-70,41,140,-168,-194
16048,-4539,-5848,-10,-56,44,148,-146,-196
16049,-4640,-5770,11,16,35,149,-157,-205
15913,-4870,-6264,35,130,14,142,-152,-204
15824,-5074,-6520,42,140,2,146,-154,-200
15818,-5176,-6604,64,169,-23,149,-155,-205
15985,-5211,-6653,82,194,-65,139,-151,-201
16255,-5326,-6823,89,227,-114,146,-154,-206
16647,-5338,-7228,105,382,-184,149,-163,-199
17016,-5260,-7506,130,449,-220,151,-155,-197
17165,-5384,-7234,169,438,-227,134,-152,-192
17277,-5624,-6885,223,533,-244,149,-149,-193
17637,-5684,-6446,290,709,-286,141,-153,-205
17958,-5637,-6336,340,862,-315,139,-155,-187
18535,-5444,-6708,372,791,-301,136,-152,-192
19023,-5461,-7188,419,582,-268,143,-153,-189
19248,-5575,-7580,584,466,-247,136,-150,-192
18341,-5532,-7279,835,569,-279,137,-149,-191
0,0,0,0,0,0,0,0,0
17886,20,-1758,1353,1758,-731,132,-146,-182
20837,-5368,-6402,626,2571,-2214,123,-147,-169
18745,-9344,-10539,931,2138,-1957,127,-151,-175
17145,-6346,-6345,1843,1679,-994,120,-148,-162
17157,-5524,-4238,1724,569,-587,107,-141,-153
17671,-3227,-1182,1655,81,-485,113,-139,-161
17192,-3392,524,1534,974,-1212,99,-139,-163
14228,-8000,29,1352,2281,-1839,95,-137,-161
16090,1287,2408,2055,-1925,336,81,-139,-155
15937,1901,4269,1585,-1291,405,74,-138,-166
16439,1761,1082,960,-942,578,74,-132,-164
8581,13021,-3782,820,-1340,905,86,-138,-168
4535,10767,-318,-1514,-4288,-1359,83,-135,-167
9629,2229,1247,-3217,-6598,-2856,73,-145,-185
15040,10768,-7729,-4827,-7162,-2841,72,-148,-200
15129,5119,1777,-4597,-6867,-2550,49,-149,-293
7278,593,-5455,893,3548,2452,91,-167,-259
9567,-1407,-3076,383,3189,1784,95,-169,-245
10110,-1182,-2154,306,3711,1535,102,-166,-234
10738,-550,-3253,260,3559,1306,105,-155,-219
11929,504,-3102,227,2438,1208,103,-169,-213
12124,-148,-114,123,1569,1030,106,-158,-210
11152,-727,-255,280,1790,1068,111,-159,-213
11684,-629,-574,237,1552,999,102,-162,-202
15600,892,-3454,168,1139,876,112,-156,-208
17131,2060,-5191,-15,-150,795,114,-156,-204
12226,16,-2798,-442,-2265,835,122,-156,-208
11736,-1883,-3486,-754,-2507,1125,119,-161,-219
12878,-2581,-6238,-1012,-2335,586,127,-157,-219
11102,-2982,-8486,-1321,-3505,18,120,-160,-234
9006,-3716,-8180,-1426,-4086,16,130,-158,-248
11518,-3104,-10866,-1158,-1945,-67,127,-167,-259
15092,-2384,-12827,-921,-1185,-35,132,-166,-256
12974,-1965,-11652,-881,-1033,86,117,-163,-259
13790,-1931,-12046,-870,-483,24,130,-160,-252
14068,-2021,-11014,-955,-431,39,135,-163,-261
15610,-3331,-12991,-938,-418,216,124,-162,-262
12412,-2326,-13909,-1196,-447,399,129,-157,-261
13107,-3112,-16008,-1135,-122,236,130,-162,-272
13769,-3235,-18423,-856,131,215,129,-161,-269
15071,-3780,-18493,-538,-94,218,132,-156,-256
14879,-2239,-17998,-267,-236,272,134,-162,-262
17672,-3473,-16624,-62,-102,249,137,-163,-269
17162,-3989,-13739,-149,2,480,132,-162,-272
15789,-2753,-16917,-230,-3,521,141,-171,-263
17626,-3519,-16904,-340,-200,467,139,-157,-265
17054,-4266,-17465,-381,-360,455,137,-161,-269
17310,-4181,-17675,-332,-309,395,133,-167,-267
17410,-3951,-17015,-243,-144,247,147,-165,-275
16929,-3972,-16000,-95,-133,149,144,-158,-270
16850,-4577,-13577,154,-35,95,143,-165,-265
16057,-3594,-12790,88,164,219,132,-154,-264
14779,-2731,-12823,12,222,233,148,-164,-274
14947,-2757,-11526,91,324,237,141,-167,-273
14574,-2768,-11226,139,461,260,148,-160,-274
13953,-2901,-10659,131,517,193,147,-157,-263
14037,-2990,-10287,99,700,90,141,-165,-271
14723,-2769,-11552,129,833,-21,151,-165,-259
14596,-2731,-11993,185,782,-113,145,-161,-263
14526,-2384,-11879,199,624,-198,147,-157,-251
14913,-2245,-11115,253,514,-255,151,-169,-249
15835,-1778,-11264,301,351,-255,138,-162,-258
16063,-1665,-12004,215,382,-288,147,-169,-257
16892,-1733,-12814,240,658,-378,143,-161,-253
17142,-2231,-12589,262,748,-371,137,-167,-265
16196,-2501,-12010,205,734,-336,141,-163,-247
15809,-2617,-11067,164,756,-256,142,-166,-254
15927,-2288,-10344,125,799,-201,142,-166,-244
16097,-2068,-10118,119,815,-164,142,-168,-244
17161,-2029,-10006,114,848,-66,138,-164,-236
16695,-2137,-9791,128,987,88,136,-168,-238
16457,-2247,-9391,143,1041,196,140,-158,-246
16927,-2217,-9062,172,996,270,146,-164,-232
16009,-2360,-8103,237,1034,323,141,-161,-237
14775,-2303,-6904,263,1018,295,142,-156,-234
14827,-2819,-5370,204,877,106,146,-168,-222
14441,-2885,-4290,131,1153,17,146,-168,-222
13395,-2608,-3888,87,1435,-73,142,-164,-222
13659,-3379,-2559,-25,1432,-187,147,-151,-213
12599,-2851,-2053,-89,1607,-168,138,-160,-212
12839,-2549,-1973,-171,1700,-228,148,-154,-210
13944,-1922,-3407,-235,1736,-265,142,-158,-204
15151,-1779,-6021,-159,1662,-313,144,-154,-204
15719,-1731,-7598,37,1084,-341,140,-152,-200
16349,-2266,-6814,233,409,-287,139,-159,-199
15526,-2148,-5399,410,5,-267,141,-145,-207
15157,-1832,-3258,490,-112,-297,137,-153,-191
15087,-2035,-3195,403,57,-301,135,-155,-199
14650,-2455,-6613,283,-32,-217,135,-151,-205
