740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
4583,3504,14707,-552,1298,567,22,164,-68
4272,3883,14356,-471,1480,536,21,171,-65
3765,3268,13995,-423,1485,415,22,168,-70
3485,3106,13240,-336,1330,310,26,172,-50
3580,2695,12792,-232,730,170,30,176,-62
3281,2728,13356,-169,-16,7,21,167,-61
3367,2692,14322,-32,-611,-77,27,175,-59
3570,2119,15446,-53,-718,-102,18,168,-58
3018,2495,15032,1,-501,-34,25,165,-67
3344,2435,15247,236,-140,-181,24,164,-60
3101,2552,14161,303,40,-196,18,178,-64
2757,2566,13796,285,-50,-186,30,168,-66
3181,2519,14236,230,-255,-45,14,170,-62
3192,2604,13980,65,-137,119,15,169,-59
3078,2744,13879,-36,-139,184,19,173,-67
3132,2860,14239,-77,-203,175,17,159,-67
2865,3053,14407,-99,-156,140,22,166,-68
2703,3233,14315,-96,-170,115,25,163,-63
2923,3142,14091,-40,-232,33,15,163,-65
3137,3023,14082,-5,-280,20,11,163,-61
3313,2885,14294,-14,-293,79,16,168,-60
3264,3035,14898,-29,-241,182,19,167,-61
3074,2970,15470,-76,-123,299,27,165,-61
3139,3114,15990,-115,-15,363,25,161,-65
2953,3136,16052,-183,114,371,18,156,-62
3049,3038,15914,-279,119,379,13,155,-57
3362,2647,16061,-426,61,362,20,162,-64
3252,2594,16461,-530,72,375,22,158,-62
3281,2733,16633,-489,12,448,17,159,-61
3131,2479,17259,-596,42,446,24,164,-54
2909,2259,17042,-635,208,532,22,156,-64
2978,2009,16637,-629,272,547,23,159,-59
2943,1838,16010,-611,352,524,22,150,-60
2835,1743,15559,-575,396,534,36,162,-62
2680,1668,15548,-538,382,535,20,164,-58
2599,1572,15820,-537,404,547,16,160,-66
2574,1548,15728,-535,419,547,29,163,-57
2428,1533,15873,-518,399,534,31,157,-57
2300,1574,16125,-490,377,498,26,164,-60
2177,1580,16294,-491,305,471,32,170,-60
1921,1474,16369,-467,90,465,32,170,-60
2347,1398,16487,-426,-176,545,29,155,-61
1563,1541,16637,-392,-173,836,23,157,-65
3427,875,15854,-380,-86,1105,33,159,-63
2881,1046,15393,-316,22,966,37,155,-63
3225,1089,15358,-328,134,927,37,161,-63
3142,800,15070,-379,272,855,37,153,-57
2892,554,14935,-423,379,911,31,161,-67
2733,112,15193,-424,396,1100,30,154,-58
2616,170,15567,-248,440,1275,30,152,-56
2687,438,14869,-88,267,1188,30,154,-60
2446,188,14901,-43,-36,1031,25,157,-65
2824,118,14537,-59,-189,1004,29,153,-63
2731,103,14114,-72,-158,943,28,152,-60
2857,23,13768,-109,-118,870,27,149,-53
3025,149,13690,-157,-70,801,33,149,-61
3085,-38,14057,-200,-51,712,30,154,-54
3075,-21,14190,-183,26,649,35,143,-61
3147,-8,14418,-131,66,592,24,154,-64
3010,-42,14958,-69,75,535,28,144,-66
3075,-63,15014,-27,8,536,30,150,-64
3315,-119,15460,6,-121,545,21,137,-59
